post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
25.375,1.296875,2.984375,2.921875
6.84375,1.640625,3.8125,2.875
9.375,0.84375,3.234375,3.125
24.625,0.8515625,4.28125,3.9375
16.25,1.3203125,2.171875,2.671875
11.125,2.6875,2.78125,2.25
22.0,2.75,3.015625,3.046875
32.5,2.296875,2.875,2.6875
11.0,0.7421875,1.984375,1.828125
21.5,1.0234375,4.65625,4.59375
13.625,0.82421875,2.890625,2.859375
15.875,2.875,3.890625,3.3125
14.125,1.484375,4.34375,4.59375
0.18359375,0.1591796875,0.251953125,0.2275390625
6.06475590234079e-19,6.06475590234079e-19,5.963111948670274e-19,5.963111948670274e-19
31.125,8.3125,245.0,245.0
65.0,2.65625,2.65625,1.4609375
121.0,1.484375,2.078125,1.265625
17.625,1.7734375,3.265625,2.0625
6.46875,0.984375,1.703125,2.0
48.5,0.89453125,2.953125,2.90625
11.4375,2.390625,3.8125,5.40625
20.375,4.0625,4.59375,7.9375
14.1875,5.34375,4.03125,8.25
29.25,3.03125,3.5,5.65625
23.875,3.6875,3.53125,4.28125
20.25,3.5625,12.125,13.375
15.9375,13.0,7.21875,17.75
24.125,1.4453125,2.734375,2.03125
23.375,1.40625,3.046875,3.265625
4.6875,1.734375,3.828125,2.921875
11.8125,0.9296875,3.09375,3.015625
26.75,0.87109375,3.515625,3.21875
17.875,1.3671875,2.640625,3.078125
10.25,2.578125,2.34375,2.609375
22.25,2.59375,2.625,3.25
34.5,1.75,2.53125,2.75
7.3125,0.6875,2.0625,2.03125
25.75,1.1640625,5.375,4.75
16.5,0.8828125,3.265625,3.203125
15.5,1.6875,4.1875,3.984375
14.9375,1.75,5.90625,5.21875
12.0625,1.34375,6.78125,6.375
0.18359375,0.15234375,0.240234375,0.22265625
6.06475590234079e-19,6.06475590234079e-19,5.963111948670274e-19,5.963111948670274e-19
31.25,8.3125,245.0,245.0
65.0,2.71875,2.703125,1.453125
121.0,1.46875,2.0625,1.2890625
17.75,1.7578125,3.28125,2.0625
6.71875,1.0078125,1.6875,1.9609375
48.5,0.91796875,3.046875,2.96875
11.25,2.390625,3.703125,5.25
20.25,3.9375,4.53125,7.75
13.9375,5.25,3.953125,8.0625
29.5,2.875,3.5,5.4375
24.125,3.515625,3.40625,4.09375
20.5,3.40625,11.5,12.875
15.9375,12.5,6.96875,17.0
24.875,1.3515625,3.3125,2.578125
23.875,1.59375,3.734375,4.53125
5.46875,1.8671875,3.546875,3.734375
12.1875,1.2421875,4.125,4.65625
25.75,0.71484375,2.625,2.5625
25.75,1.4453125,5.875,6.34375
6.21875,1.984375,3.109375,4.375
16.875,0.8359375,5.0,4.875
33.0,1.0078125,4.8125,4.6875
11.5,1.1875,5.78125,4.90625
43.5,2.609375,8.25,6.09375
31.625,2.921875,6.40625,4.8125
31.125,4.84375,7.03125,5.75
15.25,9.0625,8.125,5.4375
36.25,7.59375,5.96875,9.375
39.75,8.5625,16.875,13.6875
0.11962890625,0.109375,0.1728515625,0.166015625
6.06475590234079e-19,6.06475590234079e-19,6.030874584450618e-19,6.030874584450618e-19
31.25,8.1875,246.0,246.0
64.5,2.796875,2.75,1.53125
121.5,1.25,1.84375,1.2890625
16.5,1.75,3.234375,2.0625
5.53125,1.0078125,1.65625,1.9140625
49.75,0.9375,3.265625,3.171875
12.5625,2.328125,3.765625,5.28125
21.125,3.890625,4.5,7.65625
14.6875,5.21875,4.03125,7.9375
28.0,2.78125,3.484375,5.3125
23.375,3.484375,3.609375,4.25
19.625,3.40625,11.125,12.625
15.4375,12.375,7.0625,17.0
23.125,1.203125,3.1875,2.609375
21.125,1.703125,3.390625,4.21875
5.03125,1.8515625,3.03125,3.125
14.9375,1.125,3.953125,3.9375
28.875,0.71484375,2.421875,2.265625
22.125,1.109375,3.265625,3.390625
11.375,1.296875,2.5625,3.015625
22.5,1.7890625,3.5625,4.15625
34.5,1.78125,2.8125,3.5
7.375,0.80859375,2.5625,2.359375
31.5,2.265625,6.9375,4.96875
15.375,1.328125,3.078125,2.75
12.25,3.0,3.171875,2.59375
